numero,tipo,subtipo,andar,id_vaga_relacionada,pref_torre
1,dupla,coberta,-3,2,A
2,dupla,coberta,-3,1,A
3,dupla,coberta,-3,4,A
4,dupla,coberta,-3,3,A
5,dupla,coberta,-3,6,A
6,dupla,coberta,-3,5,A
7,dupla,coberta,-3,8,A
8,dupla,coberta,-3,7,A
9,dupla,coberta,-3,10,A
10,dupla,coberta,-3,9,A
11,dupla,coberta,-3,12,A
12,dupla,coberta,-3,11,A
13,dupla,coberta,-3,14,A
14,dupla,coberta,-3,13,A
15,simples,coberta,-3,,A
16,simples,coberta,-3,,A
17,simples,coberta,-3,,A
18,dupla,coberta,-3,19,A
19,dupla,coberta,-3,18,A
20,simples,coberta,-3,,A
21,simples,coberta,-3,,A
22,dupla,coberta,-3,23,A
23,dupla,coberta,-3,22,A
24,dupla,coberta,-3,25,A
25,dupla,coberta,-3,24,A
26,dupla,coberta,-3,27,A
27,dupla,coberta,-3,26,A
28,dupla,coberta,-3,29,A
29,dupla,coberta,-3,28,A
30,dupla,coberta,-3,31,A
31,dupla,coberta,-3,30,A
32,simples,coberta,-3,,A
33,simples,coberta,-3,,A
34,dupla,coberta,-3,105,A
35,dupla,coberta,-3,36,A
36,dupla,coberta,-3,35,A
37,dupla,coberta,-3,38,A
38,dupla,coberta,-3,37,A
39,dupla,coberta,-3,40,A
40,dupla,coberta,-3,39,A
41,dupla,coberta,-3,42,A
42,dupla,coberta,-3,41,A
43,dupla,coberta,-3,44,A
44,dupla,coberta,-3,43,A
45,dupla,coberta,-3,46,A
46,dupla,coberta,-3,45,A
47,dupla,coberta,-3,48,A
48,dupla,coberta,-3,47,A
49,dupla,coberta,-3,50,A
50,dupla,coberta,-3,49,A
51,dupla,coberta,-3,52,A
52,dupla,coberta,-3,51,A
53,dupla,coberta,-3,54,A
54,dupla,coberta,-3,53,A
55,dupla,coberta,-3,56,A
56,dupla,coberta,-3,55,A
57,dupla,coberta,-3,58,A
58,dupla,coberta,-3,57,A
59,dupla,coberta,-3,60,A
60,dupla,coberta,-3,59,A
61,dupla,coberta,-3,62,A
62,dupla,coberta,-3,61,A
63,simples,coberta,-3,,A
64,simples,coberta,-3,,A
65,simples,coberta,-3,,A
66,simples,coberta,-3,,A
67,simples,coberta,-3,,A
68,simples,coberta,-3,,A
69,simples,coberta,-3,,A
70,simples,coberta,-3,,A
71,simples,coberta,-3,,A
72,simples,coberta,-3,,A
73,simples,coberta,-3,,A
74,simples,coberta,-3,,A
75,simples,coberta,-3,,A
76,simples,coberta,-3,,A
77,simples,coberta,-3,,A
78,simples,coberta,-3,,A
79,simples,coberta,-3,,A
80,simples,coberta,-3,,A
81,simples,coberta,-3,,A
82,simples,coberta,-3,,A
83,simples,coberta,-3,,A
84,simples,coberta,-3,,A
85,simples,coberta,-3,,A
86,simples,coberta,-3,,A
87,simples,coberta,-3,,A
88,simples,coberta,-3,,A
89,simples,coberta,-3,,A
90,simples,coberta,-3,,A
91,simples,coberta,-3,,A
92,simples,coberta,-3,,A
93,dupla,coberta,-3,94,A
94,dupla,coberta,-3,93,A
95,simples,coberta,-3,,A
96,simples,coberta,-3,,A
97,simples,coberta,-3,,A
98,simples,coberta,-3,,A
99,simples,coberta,-3,,A
100,simples,coberta,-3,,A
101,simples,coberta,-3,,A
102,simples,coberta,-3,,A
103,simples,coberta,-3,,A
104,simples,coberta,-3,,A
105,dupla,coberta,-3,34,A
106,dupla,coberta,-2,107,B
107,dupla,coberta,-2,106,B
108,dupla,coberta,-2,109,B
109,dupla,coberta,-2,108,B
110,dupla,coberta,-2,111,B
111,dupla,coberta,-2,110,B
112,dupla,coberta,-2,113,B
113,dupla,coberta,-2,112,B
114,dupla,coberta,-2,115,B
115,dupla,coberta,-2,114,B
116,dupla,coberta,-2,117,B
117,dupla,coberta,-2,116,B
118,dupla,coberta,-2,119,B
119,dupla,coberta,-2,118,B
120,simples,coberta,-2,,B
121,simples,coberta,-2,,B
122,simples,coberta,-2,,B
123,dupla,coberta,-2,124,B
124,dupla,coberta,-2,123,B
125,simples,coberta,-2,,
126,simples,coberta,-2,,
127,dupla,coberta,-2,128,
128,dupla,coberta,-2,127,
129,dupla,coberta,-2,130,
130,dupla,coberta,-2,129,
131,dupla,coberta,-2,132,
132,dupla,coberta,-2,131,
133,dupla,coberta,-2,134,
134,dupla,coberta,-2,133,
135,dupla,coberta,-2,136,
136,dupla,coberta,-2,135,
137,simples,coberta,-2,,
138,simples,coberta,-2,,
139,dupla,coberta,-2,254,A
140,dupla,coberta,-2,141,A
141,dupla,coberta,-2,140,A
142,dupla,coberta,-2,143,A
143,dupla,coberta,-2,142,A
144,dupla,coberta,-2,145,A
145,dupla,coberta,-2,144,A
146,dupla,coberta,-2,147,A
147,dupla,coberta,-2,146,A
148,dupla,coberta,-2,149,A
149,dupla,coberta,-2,148,A
150,dupla,coberta,-2,151,
151,dupla,coberta,-2,150,
152,dupla,coberta,-2,153,
153,dupla,coberta,-2,152,
154,dupla,coberta,-2,155,
155,dupla,coberta,-2,154,
156,dupla,coberta,-2,157,
157,dupla,coberta,-2,156,
158,dupla,coberta,-2,159,
159,dupla,coberta,-2,158,
160,dupla,coberta,-2,161,
161,dupla,coberta,-2,160,
162,dupla,coberta,-2,163,
163,dupla,coberta,-2,162,
164,dupla,coberta,-2,165,
165,dupla,coberta,-2,164,
166,dupla,coberta,-2,167,
167,dupla,coberta,-2,166,
168,simples,coberta,-2,,A
169,simples,coberta,-2,,A
170,simples,coberta,-2,,A
171,simples,coberta,-2,,A
172,simples,coberta,-2,,A
173,simples,coberta,-2,,A
174,simples,coberta,-2,,A
175,simples,coberta,-2,,
176,simples,coberta,-2,,
177,simples,coberta,-2,,
178,simples,coberta,-2,,
179,simples,coberta,-2,,
180,simples,coberta,-2,,
181,simples,coberta,-2,,B
182,simples,coberta,-2,,B
183,simples,coberta,-2,,B
184,simples,coberta,-2,,B
185,simples,coberta,-2,,B
186,dupla,coberta,-2,187,B
187,dupla,coberta,-2,186,B
188,dupla,coberta,-2,189,B
189,dupla,coberta,-2,188,B
190,dupla,coberta,-2,191,B
191,dupla,coberta,-2,190,B
192,dupla,coberta,-2,193,B
193,dupla,coberta,-2,192,B
194,simples,coberta,-2,,B
195,simples,coberta,-2,,B
196,simples,coberta,-2,,B
197,simples,coberta,-2,,B
198,dupla,coberta,-2,199,B
199,dupla,coberta,-2,198,B
200,simples,coberta,-2,,B
201,simples,coberta,-2,,B
202,simples,coberta,-2,,B
203,simples,coberta,-2,,B
204,simples,coberta,-2,,B
205,simples,coberta,-2,,B
206,simples,coberta,-2,,B
207,simples,coberta,-2,,B
208,dupla,coberta,-2,209,B
209,dupla,coberta,-2,208,B
210,dupla,coberta,-2,211,B
211,dupla,coberta,-2,210,B
212,dupla,coberta,-2,213,B
213,dupla,coberta,-2,212,B
214,dupla,coberta,-2,215,B
215,dupla,coberta,-2,214,B
216,simples,coberta,-2,,B
217,simples,coberta,-2,,B
218,simples,coberta,-2,,B
219,simples,coberta,-2,,B
220,simples,coberta,-2,,B
221,simples,coberta,-2,,B
222,simples,coberta,-2,,B
223,simples,coberta,-2,,B
224,simples,coberta,-2,,B
225,simples,coberta,-2,,B
226,simples,coberta,-2,,B
227,dupla,coberta,-1,228,B
228,dupla,coberta,-1,227,B
229,dupla,coberta,-1,230,B
230,dupla,coberta,-1,229,B
231,dupla,coberta,-1,232,B
232,dupla,coberta,-1,231,B
233,dupla,coberta,-1,234,B
234,dupla,coberta,-1,233,B
235,dupla,coberta,-1,236,B
236,dupla,coberta,-1,235,B
237,dupla,coberta,-1,238,B
238,dupla,coberta,-1,237,B
239,dupla,coberta,-1,240,B
240,dupla,coberta,-1,239,B
241,simples,coberta,-1,,B
242,simples,coberta,-1,,B
243,simples,coberta,-1,,B
244,dupla,coberta,-1,245,B
245,dupla,coberta,-1,244,B
246,simples,coberta,-1,,
247,simples,coberta,-1,,
248,dupla,coberta,-1,249,
249,dupla,coberta,-1,248,
250,dupla,coberta,-1,251,
251,dupla,coberta,-1,250,
252,dupla,coberta,-1,253,
253,dupla,coberta,-1,252,
254,dupla,coberta,-2,139,A
255,dupla,descoberta,-1,,
256,dupla,descoberta,-1,257,
257,dupla,descoberta,-1,256,
258,simples,descoberta,-1,,
259,simples,descoberta,-1,,
260,simples,descoberta,-1,,
261,simples,descoberta,-1,,
262,dupla,descoberta,-1,263,
263,dupla,descoberta,-1,262,
264,dupla,descoberta,-1,265,
265,dupla,descoberta,-1,264,
266,dupla,descoberta,-1,267,
267,dupla,descoberta,-1,266,
268,dupla,descoberta,-1,269,
269,dupla,descoberta,-1,268,
270,dupla,descoberta,-1,271,
271,dupla,descoberta,-1,270,
272,dupla,descoberta,-1,273,
273,dupla,descoberta,-1,272,
274,dupla,descoberta,-1,275,
275,dupla,descoberta,-1,274,
276,dupla,descoberta,-1,277,
277,dupla,descoberta,-1,276,
278,dupla,coberta,-1,279,A
279,dupla,coberta,-1,278,A
280,dupla,coberta,-1,281,A
281,dupla,coberta,-1,280,A
282,dupla,coberta,-1,283,A
283,dupla,coberta,-1,282,A
284,dupla,coberta,-1,285,A
285,dupla,coberta,-1,284,A
286,dupla,coberta,-1,287,A
287,dupla,coberta,-1,286,A
288,dupla,coberta,-1,289,A
289,dupla,coberta,-1,288,A
290,dupla,coberta,-1,291,A
291,dupla,coberta,-1,290,A
292,simples,coberta,-1,,A
293,simples,coberta,-1,,A
294,simples,coberta,-1,,A
295,simples,coberta,-1,,A
296,simples,coberta,-1,,A
297,simples,coberta,-1,,A
298,simples,coberta,-1,,A
299,simples,coberta,-1,,
300,simples,coberta,-1,,
301,simples,coberta,-1,,
302,simples,coberta,-1,,
303,simples,coberta,-1,,
304,simples,coberta,-1,,
305,simples,coberta,-1,,B
306,simples,coberta,-1,,B
307,simples,coberta,-1,,B
308,simples,coberta,-1,,B
309,simples,coberta,-1,,B
310,dupla,coberta,-1,311,B
311,dupla,coberta,-1,310,B
312,dupla,coberta,-1,313,B
313,dupla,coberta,-1,312,B
314,dupla,coberta,-1,315,B
315,dupla,coberta,-1,314,B
316,dupla,coberta,-1,317,B
317,dupla,coberta,-1,316,B
318,simples,coberta,-1,,B
319,simples,coberta,-1,,B
320,simples,coberta,-1,,B
321,simples,coberta,-1,,B
322,dupla,coberta,-1,323,B
323,dupla,coberta,-1,322,B
324,simples,coberta,-1,,B
325,simples,coberta,-1,,B
326,simples,coberta,-1,,B
327,simples,coberta,-1,,B
328,simples,coberta,-1,,B
329,simples,coberta,-1,,B
330,simples,coberta,-1,,B
331,dupla,coberta,-1,332,B
332,dupla,coberta,-1,331,B
333,dupla,coberta,-1,334,B
334,dupla,coberta,-1,333,B
335,simples,coberta,-1,,
336,simples,coberta,-1,,
337,simples,coberta,-1,,B
338,simples,coberta,-1,,B
339,simples,coberta,-1,,B
340,simples,coberta,-1,,B
341,simples,coberta,-1,,B
342,simples,coberta,-1,,B
343,simples,coberta,-1,,B
344,simples,coberta,-1,,B
345,simples,coberta,-1,,B
346,simples,coberta,-1,,B
347,simples,coberta,-1,,B